exp_name,sit_name,plt_name,plt_block,plt_subBlock,plt_rep,plt_lat,plt_long,plt_notes,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units
GENX,genx,a0,,,a,,,plt_rep represents the heating transects,amb,,,
GENX,genx,a1,,,a,,,,amb,,,
GENX,genx,a2,,,a,,,,e0.75,,,
GENX,genx,a3,,,a,,,,e1.5,,,
GENX,genx,a4,,,a,,,,e2.25,,,
GENX,genx,a5,,,a,,,,e3.0,,,
GENX,genx,a6,,,a,,,,e3.75,,,
GENX,genx,a7,,,a,,,,e4.5,,,
GENX,genx,a8,,,a,,,,e5.25,,,
GENX,genx,a9,,,a,,,,e6.0,,,
GENX,genx,b0,,,b,,,,amb,,,
GENX,genx,b1,,,b,,,,amb,,,
GENX,genx,b2,,,b,,,,e0.75,,,
GENX,genx,b3,,,b,,,,e1.5,,,
GENX,genx,b4,,,b,,,,e2.25,,,
GENX,genx,b5,,,b,,,,e3.0,,,
GENX,genx,b6,,,b,,,,e3.75,,,
GENX,genx,b7,,,b,,,,e4.5,,,
GENX,genx,b8,,,b,,,,e5.25,,,
GENX,genx,b9,,,b,,,,e6.0,,,
GENX,genx,c0,,,c,,,,amb,,,
GENX,genx,c1,,,c,,,,amb,,,
GENX,genx,c2,,,c,,,,e0.75,,,
GENX,genx,c3,,,c,,,,e1.5,,,
GENX,genx,c4,,,c,,,,e2.25,,,
GENX,genx,c5,,,c,,,,e3.0,,,
GENX,genx,c6,,,c,,,,e3.75,,,
GENX,genx,c7,,,c,,,,e4.5,,,
GENX,genx,c8,,,c,,,,e5.25,,,
GENX,genx,c9,,,c,,,,e6.0,,,

























































