exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),CT1,1,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN1,1,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),CT2,2,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN2,2,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),CT3,3,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN3,3,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),CT4,4,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN4,4,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),CT5,5,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN5,5,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),DC1,1,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),DC2,2,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),DC3,3,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),N1,1,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN1,1,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),N2,2,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN2,2,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),N3,3,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN3,3,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),N4,4,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN4,4,,,,treatment,4,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),N5,5,,,,control,0,,,
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),WN5,5,,,,treatment,4,,,















