"","grassland","ID","depth","T_diff_from_10cm"
"1","LTW","GO1A",5,1.3
"2","LTW","GO1A",10,0
"3","LTW","GO1A",20,-0.6
"4","LTW","GO1A",30,-1.4
"5","LTW","GO1B",20,-0.700000000000001
"6","LTW","GO1B",30,-1.2
"7","LTW","GO1B",10,0
"8","LTW","GO1B",5,0.9
"9","LTW","GO1C",5,1.3
"10","LTW","GO1C",30,-0.6
"11","LTW","GO1C",20,-0.5
"12","LTW","GO1C",10,0
"13","LTW","GO1D",10,0
"14","LTW","GO1D",20,-0.0999999999999996
"15","LTW","GO1D",5,1.5
"16","LTW","GO1D",30,0.0999999999999996
"17","LTW","GO2A",20,-0.6
"18","LTW","GO2A",5,1.1
"19","LTW","GO2A",30,-1.3
"20","LTW","GO2A",10,0
"21","LTW","GO2B",30,-0.800000000000001
"22","LTW","GO2B",20,-0.800000000000001
"23","LTW","GO2B",5,1.2
"24","LTW","GO2B",10,0
"25","LTW","GO2C",20,-1.2
"26","LTW","GO2C",5,1.1
"27","LTW","GO2C",30,-0.199999999999999
"28","LTW","GO2C",10,0
"29","LTW","GO2D",30,-0.4
"30","LTW","GO2D",5,1
"31","LTW","GO2D",20,-0.0999999999999996
"32","LTW","GO2D",10,0
"33","LTW","GO2E",10,0
"34","LTW","GO2E",20,0.800000000000001
"35","LTW","GO2E",5,1.2
"36","LTW","GO2E",30,2
"37","LTW","GO3A",5,0.5
"38","LTW","GO3A",10,0
"39","LTW","GO3A",20,-0.899999999999999
"40","LTW","GO3A",30,-1.5
"41","LTW","GO3B",5,0.600000000000001
"42","LTW","GO3B",10,0
"43","LTW","GO3B",20,-0.699999999999999
"44","LTW","GO3B",30,-1.2
"45","LTW","GO3C",30,-0.5
"46","LTW","GO3C",5,0.300000000000001
"47","LTW","GO3C",10,0
"48","LTW","GO3C",20,-0.5
"49","LTW","GO3D",30,0.300000000000001
"50","LTW","GO3D",5,0.800000000000001
"51","LTW","GO3D",10,0
"52","LTW","GO3D",20,0
"53","LTW","GO4A",30,-1.3
"54","LTW","GO4A",20,-0.800000000000001
"55","LTW","GO4A",5,1.2
"56","LTW","GO4A",10,0
"57","LTW","GO4B",5,1.2
"58","LTW","GO4B",20,-0.699999999999999
"59","LTW","GO4B",10,0
"60","LTW","GO4B",30,-1.2
"61","LTW","GO4C",10,0
"62","LTW","GO4C",30,-0.5
"63","LTW","GO4C",20,-0.399999999999999
"64","LTW","GO4C",5,1.2
"65","LTW","GO4D",10,0
"66","LTW","GO4D",5,0
"67","LTW","GO4D",30,-2.1
"68","LTW","GO4D",20,0.300000000000001
"69","LTW","GO5A",20,0
"70","LTW","GO5A",30,-0.100000000000001
"71","LTW","GO5A",5,0.0999999999999996
"72","LTW","GO5A",10,0
"73","LTW","GO5B",5,0.300000000000001
"74","LTW","GO5B",10,0
"75","LTW","GO5B",20,-0.4
"76","LTW","GO5C",5,-0.199999999999999
"77","LTW","GO5C",10,0
"78","LTW","GO5C",30,-0.199999999999999
"79","LTW","GO5C",20,0.0999999999999996
"80","LTW","GO5D",20,0.300000000000001
"81","LTW","GO5D",5,0.199999999999999
"82","LTW","GO5D",10,0
